task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	11/9d6ea1	92464	VIROPROFILER:FASTQC (STUB_S1)	COMPLETED	0	2026-04-09 12:15:31.488	783ms	1s	-	-	-	-	-
2	36/7e320d	92497	VIROPROFILER:FASTP (STUB_S1)	COMPLETED	0	2026-04-09 12:15:32.204	1.1s	1s	-	-	-	-	-
3	34/9ed329	92555	VIROPROFILER:SPADES (STUB_S1)	COMPLETED	0	2026-04-09 12:15:38.903	721ms	0ms	-	-	-	-	-
4	61/c588b0	92591	VIROPROFILER:CONTIGLIB	COMPLETED	0	2026-04-09 12:15:41.103	691ms	0ms	-	-	-	-	-
5	a3/769a60	92628	VIROPROFILER:CHECKV	COMPLETED	0	2026-04-09 12:15:43.834	451ms	0ms	-	-	-	-	-
7	f5/9c31b8	92657	VIROPROFILER:GENEPRED4CTG	COMPLETED	0	2026-04-09 12:15:44.812	540ms	0ms	-	-	-	-	-
6	7c/c96a33	92684	VIROPROFILER:CONTIGLIB_CLUSTER	COMPLETED	0	2026-04-09 12:15:45.400	624ms	0ms	-	-	-	-	-
9	81/c88adc	92713	VIROPROFILER:NRPROT	COMPLETED	0	2026-04-09 12:15:46.389	626ms	0ms	-	-	-	-	-
8	30/47d250	92732	VIROPROFILER:NRGENE	COMPLETED	0	2026-04-09 12:15:46.807	765ms	0ms	-	-	-	-	-
11	35/0b41f8	92754	VIROPROFILER:VIBRANT	COMPLETED	0	2026-04-09 12:15:47.292	483ms	0ms	-	-	-	-	-
10	39/5c43aa	92786	VIROPROFILER:DVF	COMPLETED	0	2026-04-09 12:15:47.705	340ms	0ms	-	-	-	-	-
12	1d/93ff14	92810	VIROPROFILER:CONTIGINDEX	COMPLETED	0	2026-04-09 12:15:47.918	686ms	0ms	-	-	-	-	-
13	4b/71866f	92849	VIROPROFILER:VIRCONTIGS_PRE	COMPLETED	0	2026-04-09 12:15:49.066	806ms	0ms	-	-	-	-	-
14	8d/835d18	92856	VIROPROFILER:MAPPING2CONTIGS2 (STUB_S1)	COMPLETED	0	2026-04-09 12:15:49.255	880ms	0ms	-	-	-	-	-
19	db/8cfffc	92927	VIROPROFILER:VIRALHOST_IPHOP	COMPLETED	0	2026-04-09 12:15:51.040	622ms	0ms	-	-	-	-	-
17	cc/ab2ade	92944	VIROPROFILER:BACPHLIP	COMPLETED	0	2026-04-09 12:15:51.447	704ms	0ms	-	-	-	-	-
18	40/23a95b	93005	VIROPROFILER:TAXONOMY_MMSEQS	COMPLETED	0	2026-04-09 12:15:52.327	590ms	0ms	-	-	-	-	-
20	5e/ae12d6	92978	VIROPROFILER:ABUNDANCE	COMPLETED	0	2026-04-09 12:15:51.991	703ms	0ms	-	-	-	-	-
15	87/3356a2	93050	VIROPROFILER:TAXONOMY_VCONTACT	COMPLETED	0	2026-04-09 12:15:52.922	644ms	0ms	-	-	-	-	-
16	fc/23215c	93068	VIROPROFILER:VIRSORTER2	COMPLETED	0	2026-04-09 12:15:53.396	456ms	0ms	-	-	-	-	-
21	7b/6a470b	93121	VIROPROFILER:TAXONOMY_MERGE	COMPLETED	0	2026-04-09 12:15:54.230	578ms	0ms	-	-	-	-	-
22	3d/77983f	93133	VIROPROFILER:DRAMV	COMPLETED	0	2026-04-09 12:15:54.481	479ms	0ms	-	-	-	-	-
23	ce/338adf	93180	VIROPROFILER:RESULTS_TSE	COMPLETED	0	2026-04-09 12:15:55.277	853ms	1s	-	-	-	-	-
24	44/c4b315	93202	VIROPROFILER:CUSTOM_DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2026-04-09 12:15:55.706	680ms	0ms	-	-	-	-	-
25	de/f6c710	93258	VIROPROFILER:MULTIQC	COMPLETED	0	2026-04-09 12:15:56.962	1s	0ms	-	-	-	-	-
