task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	c5/162894	3818	VIROPROFILER:FASTQC (STUB_S1)	COMPLETED	0	2026-04-09 12:45:34.562	1.3s	0ms	-	-	-	-	-
2	4d/0f0e97	3785	VIROPROFILER:FASTP (STUB_S1)	COMPLETED	0	2026-04-09 12:45:33.227	1.6s	0ms	-	-	-	-	-
3	cd/32b17c	3877	VIROPROFILER:SPADES (STUB_S1)	COMPLETED	0	2026-04-09 12:45:41.256	1.3s	1s	-	-	-	-	-
4	67/922c61	3938	VIROPROFILER:CONTIGLIB	COMPLETED	0	2026-04-09 12:45:44.810	1.2s	0ms	-	-	-	-	-
5	5c/2389c0	3985	VIROPROFILER:CHECKV	COMPLETED	0	2026-04-09 12:45:48.381	1.3s	1s	-	-	-	-	-
7	bf/0cc0c0	4019	VIROPROFILER:GENEPRED4CTG	COMPLETED	0	2026-04-09 12:45:51.031	814ms	0ms	-	-	-	-	-
6	34/08ca9f	4045	VIROPROFILER:CONTIGLIB_CLUSTER	COMPLETED	0	2026-04-09 12:45:51.867	1.4s	0ms	-	-	-	-	-
8	30/a10b53	4070	VIROPROFILER:NRPROT	COMPLETED	0	2026-04-09 12:45:52.917	1.5s	1s	-	-	-	-	-
9	b0/a7c051	4111	VIROPROFILER:NRGENE	COMPLETED	0	2026-04-09 12:45:54.380	1.8s	0ms	-	-	-	-	-
11	da/67f109	4129	VIROPROFILER:VIBRANT	COMPLETED	0	2026-04-09 12:45:55.490	1.6s	0ms	-	-	-	-	-
10	2c/148c08	4167	VIROPROFILER:DVF	COMPLETED	0	2026-04-09 12:45:57.075	989ms	0ms	-	-	-	-	-
12	5e/1af307	4194	VIROPROFILER:CONTIGINDEX	COMPLETED	0	2026-04-09 12:45:58.017	1.3s	1s	-	-	-	-	-
13	39/ed4960	4224	VIROPROFILER:VIRCONTIGS_PRE	COMPLETED	0	2026-04-09 12:45:59.309	1.2s	0ms	-	-	-	-	-
14	9a/f4384c	4248	VIROPROFILER:MAPPING2CONTIGS2 (STUB_S1)	COMPLETED	0	2026-04-09 12:46:00.285	1.3s	0ms	-	-	-	-	-
19	dd/24ccce	4293	VIROPROFILER:VIRALHOST_IPHOP	COMPLETED	0	2026-04-09 12:46:01.488	1.4s	0ms	-	-	-	-	-
15	c9/50ecf5	4301	VIROPROFILER:TAXONOMY_MMSEQS	COMPLETED	0	2026-04-09 12:46:01.569	1.5s	0ms	-	-	-	-	-
17	60/7e3178	4281	VIROPROFILER:TAXONOMY_VCONTACT	COMPLETED	0	2026-04-09 12:46:01.167	1.5s	1s	-	-	-	-	-
18	3b/0ea843	4385	VIROPROFILER:BACPHLIP	COMPLETED	0	2026-04-09 12:46:03.044	1.2s	1s	-	-	-	-	-
16	71/aef36d	4408	VIROPROFILER:VIRSORTER2	COMPLETED	0	2026-04-09 12:46:03.976	1.2s	1s	-	-	-	-	-
20	9a/d2801a	4409	VIROPROFILER:ABUNDANCE	COMPLETED	0	2026-04-09 12:46:04.043	1.5s	1s	-	-	-	-	-
21	fb/e337cb	4410	VIROPROFILER:TAXONOMY_MERGE	COMPLETED	0	2026-04-09 12:46:04.090	1.1s	1s	-	-	-	-	-
23	89/7e9d3c	4507	VIROPROFILER:RESULTS_TSE	COMPLETED	0	2026-04-09 12:46:05.809	1.8s	0ms	-	-	-	-	-
22	6f/cfd69b	4512	VIROPROFILER:DRAMV	COMPLETED	0	2026-04-09 12:46:06.075	1.2s	1s	-	-	-	-	-
24	36/1badd0	4597	VIROPROFILER:CUSTOM_DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2026-04-09 12:46:08.420	1.2s	1s	-	-	-	-	-
25	f4/c6a9ef	4627	VIROPROFILER:MULTIQC	COMPLETED	0	2026-04-09 12:46:10.817	1.6s	1s	-	-	-	-	-
