task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	a6/c8b62c	88005	VIROPROFILER:FASTQC (STUB_S1)	COMPLETED	0	2026-04-09 12:04:44.975	1.2s	1s	-	-	-	-	-
1	c2/983b4a	87993	VIROPROFILER:FASTP (STUB_S1)	COMPLETED	0	2026-04-09 12:04:44.575	1.5s	0ms	-	-	-	-	-
3	90/9e51d8	88103	VIROPROFILER:SPADES (STUB_S1)	COMPLETED	0	2026-04-09 12:04:49.914	1.1s	0ms	-	-	-	-	-
4	81/f37566	88145	VIROPROFILER:CONTIGLIB	COMPLETED	0	2026-04-09 12:04:52.827	723ms	0ms	-	-	-	-	-
5	18/5eb481	88206	VIROPROFILER:CHECKV	COMPLETED	0	2026-04-09 12:04:55.200	634ms	0ms	-	-	-	-	-
7	84/29e780	88255	VIROPROFILER:CONTIGLIB_CLUSTER	COMPLETED	0	2026-04-09 12:04:57.055	556ms	0ms	-	-	-	-	-
6	4c/221a18	88241	VIROPROFILER:GENEPRED4CTG	COMPLETED	0	2026-04-09 12:04:56.748	663ms	0ms	-	-	-	-	-
9	22/371d13	88292	VIROPROFILER:CONTIGINDEX	COMPLETED	0	2026-04-09 12:04:58.076	855ms	0ms	-	-	-	-	-
10	15/6f30dd	88294	VIROPROFILER:VIBRANT	COMPLETED	0	2026-04-09 12:04:58.130	784ms	0ms	-	-	-	-	-
11	c7/be4591	88296	VIROPROFILER:NRGENE	COMPLETED	0	2026-04-09 12:04:58.155	707ms	0ms	-	-	-	-	-
12	ea/11227b	88293	VIROPROFILER:NRPROT	COMPLETED	0	2026-04-09 12:04:58.102	692ms	0ms	-	-	-	-	-
8	79/fe2c35	88394	VIROPROFILER:DVF	COMPLETED	0	2026-04-09 12:04:58.909	983ms	0ms	-	-	-	-	-
13	3d/f0c960	88417	VIROPROFILER:MAPPING2CONTIGS2 (STUB_S1)	COMPLETED	0	2026-04-09 12:04:59.531	773ms	1s	-	-	-	-	-
14	b3/1463a6	88454	VIROPROFILER:VIRCONTIGS_PRE	COMPLETED	0	2026-04-09 12:05:00.392	972ms	0ms	-	-	-	-	-
15	f4/65811b	88457	VIROPROFILER:ABUNDANCE	COMPLETED	0	2026-04-09 12:05:00.462	1s	1s	-	-	-	-	-
17	ee/65c186	88526	VIROPROFILER:TAXONOMY_MMSEQS	COMPLETED	0	2026-04-09 12:05:02.207	565ms	0ms	-	-	-	-	-
18	6e/5da849	88525	VIROPROFILER:VIRALHOST_IPHOP	COMPLETED	0	2026-04-09 12:05:02.191	449ms	0ms	-	-	-	-	-
16	ea/8faf5c	88542	VIROPROFILER:TAXONOMY_VCONTACT	COMPLETED	0	2026-04-09 12:05:02.325	791ms	0ms	-	-	-	-	-
20	cf/86c01e	88544	VIROPROFILER:BACPHLIP	COMPLETED	0	2026-04-09 12:05:02.361	532ms	0ms	-	-	-	-	-
19	6a/5d52fc	88619	VIROPROFILER:VIRSORTER2	COMPLETED	0	2026-04-09 12:05:02.711	1.1s	0ms	-	-	-	-	-
21	e2/4207b0	88687	VIROPROFILER:TAXONOMY_MERGE	COMPLETED	0	2026-04-09 12:05:03.916	1.1s	0ms	-	-	-	-	-
22	25/3eda3d	88697	VIROPROFILER:DRAMV	COMPLETED	0	2026-04-09 12:05:04.301	944ms	1s	-	-	-	-	-
23	f0/3a183d	88774	VIROPROFILER:RESULTS_TSE	COMPLETED	0	2026-04-09 12:05:05.430	3.4s	0ms	-	-	-	-	-
24	ac/5035d0	88829	VIROPROFILER:CUSTOM_DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2026-04-09 12:05:08.590	1.2s	0ms	-	-	-	-	-
25	c7/f61500	88889	VIROPROFILER:MULTIQC	COMPLETED	0	2026-04-09 12:05:11.417	2s	0ms	-	-	-	-	-
