task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	19/f637ac	90496	CONTIGANNO:CHECKV	COMPLETED	0	2026-04-09 12:10:01.479	785ms	1s	-	-	-	-	-
2	0c/fafa71	90528	CONTIGANNO:GENEPRED4CTG	COMPLETED	0	2026-04-09 12:10:03.299	892ms	1s	-	-	-	-	-
3	e7/4ad1d2	90542	CONTIGANNO:CONTIGLIB_CLUSTER	COMPLETED	0	2026-04-09 12:10:03.698	831ms	0ms	-	-	-	-	-
4	26/b7c46d	90594	CONTIGANNO:NRPROT	COMPLETED	0	2026-04-09 12:10:05.015	2.2s	1s	-	-	-	-	-
5	9f/d1aed0	90598	CONTIGANNO:NRGENE	COMPLETED	0	2026-04-09 12:10:05.194	2.3s	1s	-	-	-	-	-
11	1f/34503e	90659	CONTIGANNO:TAXONOMY_MMSEQS	COMPLETED	0	2026-04-09 12:10:06.487	2.9s	1s	-	-	-	-	-
8	bd/05b8ac	90617	CONTIGANNO:VIRALHOST_IPHOP	COMPLETED	0	2026-04-09 12:10:05.481	3.2s	1s	-	-	-	-	-
10	63/7d8dfa	90731	CONTIGANNO:VIRSORTER2	COMPLETED	0	2026-04-09 12:10:08.576	3.1s	0ms	-	-	-	-	-
9	da/98a69d	90759	CONTIGANNO:TAXONOMY_VCONTACT	COMPLETED	0	2026-04-09 12:10:10.242	3.2s	1s	-	-	-	-	-
6	d2/869254	90781	CONTIGANNO:VIBRANT	COMPLETED	0	2026-04-09 12:10:11.088	3.2s	1s	-	-	-	-	-
12	30/ba9a22	90805	CONTIGANNO:BACPHLIP	COMPLETED	0	2026-04-09 12:10:12.388	2.9s	0ms	-	-	-	-	-
7	30/97f404	90829	CONTIGANNO:DVF	COMPLETED	0	2026-04-09 12:10:13.268	2s	0ms	-	-	-	-	-
13	d4/4bc592	90866	CONTIGANNO:DRAMV	COMPLETED	0	2026-04-09 12:10:14.316	2.2s	1s	-	-	-	-	-
14	6c/6e751d	90898	CONTIGANNO:TAXONOMY_MERGE	COMPLETED	0	2026-04-09 12:10:15.193	1.9s	0ms	-	-	-	-	-
15	24/77bab8	90948	CONTIGANNO:VIRCONTIGS_PRE	COMPLETED	0	2026-04-09 12:10:17.073	1.8s	0ms	-	-	-	-	-
