task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	81/a5b5fb	5127	CONTIGANNO:CHECKV	COMPLETED	0	2026-04-09 12:47:32.875	918ms	0ms	-	-	-	-	-
2	46/32f85b	5158	CONTIGANNO:GENEPRED4CTG	COMPLETED	0	2026-04-09 12:47:34.632	902ms	0ms	-	-	-	-	-
3	41/4c66dd	5160	CONTIGANNO:CONTIGLIB_CLUSTER	COMPLETED	0	2026-04-09 12:47:34.831	970ms	0ms	-	-	-	-	-
5	c9/2cd89b	5213	CONTIGANNO:NRPROT	COMPLETED	0	2026-04-09 12:47:35.807	896ms	0ms	-	-	-	-	-
4	86/833f6a	5215	CONTIGANNO:NRGENE	COMPLETED	0	2026-04-09 12:47:35.914	864ms	0ms	-	-	-	-	-
6	4c/858fa3	5218	CONTIGANNO:VIBRANT	COMPLETED	0	2026-04-09 12:47:36.040	958ms	0ms	-	-	-	-	-
8	46/e83317	5239	CONTIGANNO:VIRALHOST_IPHOP	COMPLETED	0	2026-04-09 12:47:36.280	927ms	0ms	-	-	-	-	-
9	ce/1176e0	5307	CONTIGANNO:BACPHLIP	COMPLETED	0	2026-04-09 12:47:36.806	779ms	0ms	-	-	-	-	-
10	8f/be4d74	5302	CONTIGANNO:TAXONOMY_VCONTACT	COMPLETED	0	2026-04-09 12:47:36.737	929ms	0ms	-	-	-	-	-
7	47/0d2814	5344	CONTIGANNO:DVF	COMPLETED	0	2026-04-09 12:47:37.096	741ms	0ms	-	-	-	-	-
11	a2/c23c82	5361	CONTIGANNO:VIRSORTER2	COMPLETED	0	2026-04-09 12:47:37.267	1.1s	1s	-	-	-	-	-
12	18/3c9430	5410	CONTIGANNO:TAXONOMY_MMSEQS	COMPLETED	0	2026-04-09 12:47:37.592	1s	0ms	-	-	-	-	-
13	a4/ee8741	5462	CONTIGANNO:VIRCONTIGS_PRE	COMPLETED	0	2026-04-09 12:47:38.350	793ms	1s	-	-	-	-	-
14	46/f9a37b	5468	CONTIGANNO:DRAMV	COMPLETED	0	2026-04-09 12:47:38.431	872ms	1s	-	-	-	-	-
15	08/b6dbe2	5496	CONTIGANNO:TAXONOMY_MERGE	COMPLETED	0	2026-04-09 12:47:38.713	1.1s	0ms	-	-	-	-	-
